% 1. Title: Phishing URL Classification Dataset
% 
% 2. Sources:
%      (a) Creator: Xin Zhou
%      (b) Date: 2019/04/25 21:33:50
% 
@RELATION Phishing_URL_Detection

@ATTRIBUTE url_length  NUMERIC
@ATTRIBUTE domain_length  NUMERIC
@ATTRIBUTE dash_symbal  NUMERIC
@ATTRIBUTE cons_digits  NUMERIC
@ATTRIBUTE count_digits  NUMERIC
@ATTRIBUTE protocal  NUMERIC
@ATTRIBUTE numberOfDash_onDomain  NUMERIC
@ATTRIBUTE numberOfSlashes  NUMERIC
@ATTRIBUTE special_words  NUMERIC
@ATTRIBUTE TLD  NUMERIC
@ATTRIBUTE redirect  NUMERIC
@ATTRIBUTE page_global_rank  NUMERIC
@ATTRIBUTE page_local_rank  NUMERIC
@ATTRIBUTE country_code  NUMERIC
@ATTRIBUTE google_redirect  NUMERIC
@ATTRIBUTE current_minus_creation  NUMERIC
@ATTRIBUTE current_minus_updated  NUMERIC
@ATTRIBUTE expiration_minus_creation  NUMERIC
@ATTRIBUTE C_F_1  NUMERIC
@ATTRIBUTE C_F_2  NUMERIC
@ATTRIBUTE C_F_3  NUMERIC
@ATTRIBUTE C_F_4  NUMERIC
@ATTRIBUTE C_F_5  NUMERIC
@ATTRIBUTE C_F_6  NUMERIC
@ATTRIBUTE C_F_7  NUMERIC
@ATTRIBUTE C_F_8  NUMERIC
@ATTRIBUTE C_F_9  NUMERIC
@ATTRIBUTE C_F_10  NUMERIC
@ATTRIBUTE C_F_11  NUMERIC
@ATTRIBUTE C_F_12  NUMERIC
@ATTRIBUTE C_F_13  NUMERIC
@ATTRIBUTE C_F_14  NUMERIC
@ATTRIBUTE C_F_15  NUMERIC
@ATTRIBUTE C_F_16  NUMERIC
@ATTRIBUTE C_F_17  NUMERIC
@ATTRIBUTE C_F_18  NUMERIC
@ATTRIBUTE C_F_19  NUMERIC
@ATTRIBUTE C_F_20  NUMERIC
@ATTRIBUTE C_F_21  NUMERIC
@ATTRIBUTE C_F_22  NUMERIC
@ATTRIBUTE C_F_23  NUMERIC
@ATTRIBUTE C_F_24  NUMERIC
@ATTRIBUTE C_F_25  NUMERIC
@ATTRIBUTE C_F_26  NUMERIC
@ATTRIBUTE C_F_27  NUMERIC
@ATTRIBUTE C_F_28  NUMERIC
@ATTRIBUTE C_F_29  NUMERIC
@ATTRIBUTE C_F_30  NUMERIC
@ATTRIBUTE C_F_31  NUMERIC
@ATTRIBUTE C_F_32  NUMERIC
@ATTRIBUTE C_F_33  NUMERIC
@ATTRIBUTE C_F_34  NUMERIC
@ATTRIBUTE C_F_35  NUMERIC
@ATTRIBUTE C_F_36  NUMERIC
@ATTRIBUTE C_F_37  NUMERIC
@ATTRIBUTE C_F_38  NUMERIC
@ATTRIBUTE C_F_39  NUMERIC
@ATTRIBUTE C_F_40  NUMERIC
@ATTRIBUTE C_F_41  NUMERIC
@ATTRIBUTE C_F_42  NUMERIC
@ATTRIBUTE C_F_43  NUMERIC
@ATTRIBUTE C_F_44  NUMERIC
@ATTRIBUTE C_F_45  NUMERIC
@ATTRIBUTE C_F_46  NUMERIC
@ATTRIBUTE C_F_47  NUMERIC
@ATTRIBUTE C_F_48  NUMERIC
@ATTRIBUTE C_F_49  NUMERIC
@ATTRIBUTE C_F_50  NUMERIC
@ATTRIBUTE C_F_51  NUMERIC
@ATTRIBUTE C_F_52  NUMERIC
@ATTRIBUTE C_F_53  NUMERIC
@ATTRIBUTE C_F_54  NUMERIC
@ATTRIBUTE C_F_55  NUMERIC
@ATTRIBUTE C_F_56  NUMERIC
@ATTRIBUTE C_F_57  NUMERIC
@ATTRIBUTE C_F_58  NUMERIC
@ATTRIBUTE C_F_59  NUMERIC
@ATTRIBUTE C_F_60  NUMERIC
@ATTRIBUTE C_F_61  NUMERIC
@ATTRIBUTE C_F_62  NUMERIC
@ATTRIBUTE C_F_63  NUMERIC
@ATTRIBUTE C_F_64  NUMERIC
@ATTRIBUTE C_F_65  NUMERIC
@ATTRIBUTE C_F_66  NUMERIC
@ATTRIBUTE C_F_67  NUMERIC
@ATTRIBUTE C_F_68  NUMERIC
@ATTRIBUTE C_F_69  NUMERIC
@ATTRIBUTE C_F_70  NUMERIC
@ATTRIBUTE C_F_71  NUMERIC
@ATTRIBUTE C_F_72  NUMERIC
@ATTRIBUTE C_F_73  NUMERIC
@ATTRIBUTE C_F_74  NUMERIC
@ATTRIBUTE C_F_75  NUMERIC
@ATTRIBUTE C_F_76  NUMERIC
@ATTRIBUTE C_F_77  NUMERIC
@ATTRIBUTE C_F_78  NUMERIC
@ATTRIBUTE C_F_79  NUMERIC
@ATTRIBUTE C_F_80  NUMERIC
@ATTRIBUTE C_F_81  NUMERIC
@ATTRIBUTE C_F_82  NUMERIC
@ATTRIBUTE C_F_83  NUMERIC
@ATTRIBUTE C_F_84  NUMERIC
@ATTRIBUTE C_F_85  NUMERIC
@ATTRIBUTE C_F_86  NUMERIC
@ATTRIBUTE C_F_87  NUMERIC
@ATTRIBUTE C_F_88  NUMERIC
@ATTRIBUTE C_F_89  NUMERIC
@ATTRIBUTE C_F_90  NUMERIC
@ATTRIBUTE C_F_91  NUMERIC
@ATTRIBUTE C_F_92  NUMERIC
@ATTRIBUTE C_F_93  NUMERIC
@ATTRIBUTE C_F_94  NUMERIC
@ATTRIBUTE C_F_95  NUMERIC
@ATTRIBUTE C_F_96  NUMERIC
@ATTRIBUTE C_F_97  NUMERIC
@ATTRIBUTE C_F_98  NUMERIC
@ATTRIBUTE C_F_99  NUMERIC
@ATTRIBUTE C_F_100  NUMERIC
@ATTRIBUTE C_F_101  NUMERIC
@ATTRIBUTE C_F_102  NUMERIC
@ATTRIBUTE C_F_103  NUMERIC
@ATTRIBUTE C_F_104  NUMERIC
@ATTRIBUTE C_F_105  NUMERIC
@ATTRIBUTE C_F_106  NUMERIC
@ATTRIBUTE C_F_107  NUMERIC
@ATTRIBUTE C_F_108  NUMERIC
@ATTRIBUTE C_F_109  NUMERIC
@ATTRIBUTE C_F_110  NUMERIC
@ATTRIBUTE C_F_111  NUMERIC
@ATTRIBUTE C_F_112  NUMERIC
@ATTRIBUTE C_F_113  NUMERIC
@ATTRIBUTE C_F_114  NUMERIC
@ATTRIBUTE C_F_115  NUMERIC
@ATTRIBUTE C_F_116  NUMERIC
@ATTRIBUTE C_F_117  NUMERIC
@ATTRIBUTE C_F_118  NUMERIC
@ATTRIBUTE C_F_119  NUMERIC
@ATTRIBUTE C_F_120  NUMERIC
@ATTRIBUTE C_F_121  NUMERIC
@ATTRIBUTE C_F_122  NUMERIC
@ATTRIBUTE C_F_123  NUMERIC
@ATTRIBUTE C_F_124  NUMERIC
@ATTRIBUTE C_F_125  NUMERIC
@ATTRIBUTE C_F_126  NUMERIC
@ATTRIBUTE C_F_127  NUMERIC
@ATTRIBUTE C_F_128  NUMERIC
@ATTRIBUTE C_F_129  NUMERIC
@ATTRIBUTE C_F_130  NUMERIC
@ATTRIBUTE C_F_131  NUMERIC
@ATTRIBUTE C_F_132  NUMERIC
@ATTRIBUTE C_F_133  NUMERIC
@ATTRIBUTE C_F_134  NUMERIC
@ATTRIBUTE C_F_135  NUMERIC
@ATTRIBUTE C_F_136  NUMERIC
@ATTRIBUTE C_F_137  NUMERIC
@ATTRIBUTE C_F_138  NUMERIC
@ATTRIBUTE C_F_139  NUMERIC
@ATTRIBUTE C_F_140  NUMERIC
@ATTRIBUTE C_F_141  NUMERIC
@ATTRIBUTE C_F_142  NUMERIC
@ATTRIBUTE C_F_143  NUMERIC
@ATTRIBUTE C_F_144  NUMERIC
@ATTRIBUTE C_F_145  NUMERIC
@ATTRIBUTE C_F_146  NUMERIC
@ATTRIBUTE C_F_147  NUMERIC
@ATTRIBUTE C_F_148  NUMERIC
@ATTRIBUTE C_F_149  NUMERIC
@ATTRIBUTE C_F_150  NUMERIC
@ATTRIBUTE C_F_151  NUMERIC
@ATTRIBUTE C_F_152  NUMERIC
@ATTRIBUTE C_F_153  NUMERIC
@ATTRIBUTE C_F_154  NUMERIC
@ATTRIBUTE C_F_155  NUMERIC
@ATTRIBUTE C_F_156  NUMERIC
@ATTRIBUTE C_F_157  NUMERIC
@ATTRIBUTE C_F_158  NUMERIC
@ATTRIBUTE C_F_159  NUMERIC
@ATTRIBUTE C_F_160  NUMERIC
@ATTRIBUTE C_F_161  NUMERIC
@ATTRIBUTE C_F_162  NUMERIC
@ATTRIBUTE C_F_163  NUMERIC
@ATTRIBUTE C_F_164  NUMERIC
@ATTRIBUTE C_F_165  NUMERIC
@ATTRIBUTE number_of_emails  NUMERIC
@ATTRIBUTE number_of_hosts  NUMERIC
@ATTRIBUTE time_1  NUMERIC
@ATTRIBUTE time_2  NUMERIC
@ATTRIBUTE time_3  NUMERIC
@ATTRIBUTE time_4  NUMERIC
@ATTRIBUTE time_total  NUMERIC
@ATTRIBUTE class  {1,0}


@DATA
 "233",  "22",  "2",  "0",  "0",  "0",  "0",  "6",  "1",  "1",  "0",  "2",  "0",  "0",  "0",  "8",  "8",  "365",  "0",  "0",  "0",  "0",  "5",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "18",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "76",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "19",  "0",  "0",  "0",  "0",  "13",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "37",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "5",  "1",  "0",  "19",  "1",  "66",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "4",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "1",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "103",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "46",  "263",  "112",  "3347",  "3768", 1
 "155",  "16",  "2",  "0",  "0",  "1",  "0",  "5",  "0",  "1",  "0",  "2",  "0",  "0",  "0",  "357",  "172",  "365",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "18",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "5",  "0",  "0",  "38",  "0",  "19",  "0",  "0",  "0",  "0",  "5",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "16",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "38",  "0",  "0",  "0",  "0",  "29",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "24",  "0",  "0",  "0",  "0",  "11",  "0",  "0",  "8",  "6",  "0",  "3",  "3",  "23",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "3",  "0",  "1",  "2",  "0",  "0",  "0",  "0",  "50",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "1",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "236",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "1",  "2",  "277",  "143",  "4230",  "4652", 1
 "56",  "16",  "1",  "0",  "0",  "0",  "0",  "6",  "0",  "1",  "0",  "2",  "0",  "0",  "0",  "357",  "172",  "365",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "18",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "5",  "0",  "0",  "38",  "0",  "19",  "0",  "0",  "0",  "0",  "5",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "16",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "38",  "0",  "0",  "0",  "0",  "29",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "24",  "0",  "0",  "0",  "0",  "11",  "0",  "0",  "8",  "6",  "0",  "3",  "3",  "23",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "3",  "0",  "1",  "2",  "0",  "0",  "0",  "0",  "50",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "1",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "236",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "1",  "0",  "277",  "50",  "4230",  "4557", 1
 "51",  "16",  "1",  "0",  "0",  "0",  "0",  "5",  "0",  "1",  "0",  "2",  "0",  "0",  "0",  "357",  "172",  "365",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "18",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "5",  "0",  "0",  "38",  "0",  "19",  "0",  "0",  "0",  "0",  "5",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "16",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "38",  "0",  "0",  "0",  "0",  "29",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "24",  "0",  "0",  "0",  "0",  "11",  "0",  "0",  "8",  "6",  "0",  "3",  "3",  "23",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "3",  "0",  "1",  "2",  "0",  "0",  "0",  "0",  "50",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "1",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "236",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "1",  "0",  "277",  "47",  "4230",  "4554", 1
 "48",  "11",  "0",  "0",  "0",  "1",  "0",  "5",  "0",  "1",  "0",  "6",  "0",  "0",  "0",  "7970",  "730",  "9390",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "101",  "1422",  "341",  "3061",  "4925", 1
 "107",  "7",  "0",  "0",  "0",  "0",  "0",  "13",  "0",  "0",  "0",  "3",  "701",  "144",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "6",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "25",  "0",  "0",  "0",  "0",  "8",  "0",  "0",  "0",  "0",  "0",  "2",  "3",  "9",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "7",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "128",  "50",  "673",  "5227",  "6078", 1
 "107",  "7",  "0",  "0",  "0",  "0",  "0",  "13",  "0",  "0",  "0",  "3",  "701",  "144",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "6",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "25",  "0",  "0",  "0",  "0",  "8",  "0",  "0",  "0",  "0",  "0",  "2",  "3",  "9",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "7",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "50",  "361",  "5227",  "5638", 1
 "107",  "7",  "0",  "0",  "0",  "0",  "0",  "13",  "0",  "0",  "0",  "3",  "701",  "144",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "6",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "25",  "0",  "0",  "0",  "0",  "8",  "0",  "0",  "0",  "0",  "0",  "2",  "3",  "9",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "7",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "50",  "241",  "5227",  "5518", 1
 "107",  "7",  "0",  "0",  "0",  "0",  "0",  "13",  "0",  "0",  "0",  "3",  "701",  "144",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "6",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "25",  "0",  "0",  "0",  "0",  "8",  "0",  "0",  "0",  "0",  "0",  "2",  "3",  "9",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "7",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "50",  "251",  "5227",  "5528", 1
 "107",  "7",  "0",  "0",  "0",  "0",  "0",  "13",  "0",  "0",  "0",  "3",  "701",  "144",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "6",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "25",  "0",  "0",  "0",  "0",  "8",  "0",  "0",  "0",  "0",  "0",  "2",  "3",  "9",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "7",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "50",  "242",  "5227",  "5519", 1
 "35",  "14",  "0",  "0",  "0",  "0",  "0",  "5",  "0",  "1",  "0",  "2",  "0",  "0",  "0",  "957",  "233",  "1095",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "11",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "17",  "0",  "0",  "0",  "0",  "4",  "0",  "0",  "2",  "0",  "1",  "0",  "0",  "58",  "0",  "19",  "0",  "0",  "10",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "24",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "31",  "0",  "0",  "0",  "0",  "22",  "0",  "0",  "3",  "2",  "0",  "1",  "3",  "9",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "5",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "2",  "0",  "170",  "1",  "0",  "67",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "86",  "1803",  "262",  "3425",  "5576", 1
 "93",  "13",  "4",  "1",  "2",  "1",  "0",  "8",  "0",  "1",  "1",  "2",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "18",  "1",  "0",  "0",  "0",  "106",  "41",  "0",  "0",  "0",  "14",  "0",  "0",  "0",  "0",  "0",  "0",  "8",  "0",  "0",  "0",  "0",  "29",  "0",  "0",  "0",  "0",  "4",  "0",  "0",  "0",  "0",  "7",  "0",  "0",  "0",  "0",  "32",  "0",  "0",  "0",  "0",  "5",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "3",  "0",  "0",  "0",  "0",  "31",  "0",  "0",  "0",  "0",  "4",  "0",  "0",  "0",  "0",  "4",  "0",  "0",  "0",  "0",  "34",  "0",  "0",  "0",  "0",  "36",  "0",  "2",  "19",  "8",  "0",  "3",  "5",  "19",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "8",  "0",  "3",  "0",  "0",  "0",  "0",  "1",  "0",  "0",  "180",  "0",  "0",  "2",  "2",  "1",  "1",  "0",  "0",  "1",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "1",  "5",  "0",  "40",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "0",  "80",  "20",  "335",  "3329",  "3764", 1
